"Gene.name"	"Row.names"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"11VG"	"37VG"	"38VG"	"50VG"	"54VG"	"55-VG"	"12MII"	"13-MII"	"16MII"	"17-MII"	"53MII"	"7-MII"	"85-MII"
"ANKRD18DP"	"ENSG00000281617"	0.6046154	-0.3960014	0.468632	0.5008224	0.7232225	-0.9987754	-0.390895	-1.200231	-0.8368262	0.5778401	1.406964	-0.5628079	-1.170404	-0.9620269	-2.053631	0.391517	0.6894837	-1.992452
"TNRC18"	"ENSG00000182095"	-0.7884907	-0.3943325	0.4684252	0.5010165	0.723437	-1.493123	-0.4665059	1.080168	-1.055019	-2.043941	-2.781446	-1.300031	-1.168046	-2.76939	-0.5359732	-3.212759	-3.872912	2.579714
"ITGB8"	"ENSG00000105855"	0.5299286	1.117154	0.4679377	0.5011364	0.72348	-0.9201331	1.515745	2.113348	0.4486193	2.059977	1.825987	-0.9738484	-1.487099	1.107967	1.736505	-0.1334908	-0.420923	2.511426
"DAB2IP"	"ENSG00000136848"	0.4872327	2.919806	0.4680461	0.5011375	0.72348	3.418361	3.565095	2.549205	3.185896	1.578591	2.028042	3.057586	2.934102	3.475224	2.569829	1.622112	-0.02402427	-2.821352
"PARP1"	"ENSG00000143799"	-0.3073387	6.715034	0.4679632	0.5012255	0.7235204	6.245247	6.251279	6.249428	7.055723	6.226055	6.597438	5.037816	7.315872	6.785584	7.943193	5.536621	5.886984	6.845865
"MAPKBP1"	"ENSG00000137802"	-0.6296613	6.126199	0.4678092	0.5012951	0.7235204	6.609317	6.297347	4.321502	5.60193	2.718573	1.823283	6.338259	6.092691	7.517077	5.367987	5.032933	-3.872912	5.744498
"FGFBP3"	"ENSG00000174721"	-0.6270532	0.8148103	0.4676542	0.5013025	0.7235204	-0.6460127	1.82604	-0.7702824	0.4593323	0.210709	1.180265	-0.04675114	1.516876	-1.454129	0.8980305	1.38017	-3.872912	3.04134
"FEM1B"	"ENSG00000169018"	-0.3796536	4.465072	0.466935	0.5016726	0.7239316	4.960907	3.815425	4.680709	4.196798	4.606027	2.727589	5.317368	3.28361	4.702172	3.120905	6.240227	2.769365	3.95248
"ZDHHC20"	"ENSG00000180776"	0.9248221	0.6304315	0.4669622	0.5016787	0.7239316	0.3189266	-0.9382597	2.974025	-1.749076	-0.01589978	1.884854	3.061084	-3.872912	-2.787761	-3.872912	-3.212759	-2.059619	-3.069679
"DPF1"	"ENSG00000011332"	-0.5566296	2.615176	0.4667372	0.5017807	0.7239839	2.730012	3.117621	2.645142	2.381663	1.760957	0.2209191	3.193619	4.238561	3.027485	3.333555	-2.761428	-1.750972	2.781976
